URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0,0,0.0,0.0,0.32629591486440096,0.010520778537611783,0.1347266773608051,0.32629591486440096,40,3802
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0,0,0.0,0.0,0.3040198775401544,0.01284296555750146,0.12674513723906236,0.3040198775401544,44,3426
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0,0,0.0,0.0,0.32194954522052516,0.013059701492537313,0.134003698685225,0.32194954522052516,49,3752
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0,0,0.0,0.0,0.31764295676429566,0.01234906695938529,0.1319968094894724,0.31764295676429566,45,3644
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0,0,0.0,0.0,0.32309086415684984,0.014788373278939317,0.13515169497431567,0.32309086415684984,58,3922
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0,0,0.0,0.0,0.2977613953070215,0.012983091787439614,0.12429779483778446,0.2977613953070215,43,3312
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0,0,0.0,0.0,0.26225769669327254,0.009782608695652175,0.10881612215556989,0.26225769669327254,27,2760
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,0.0,0.0,0.2445982205903121,0.008083140877598153,0.10107254458716411,0.2445982205903121,14,1732
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0,0,0.0,0.0,0.26204330821329774,0.010192937750273025,0.1088944983854283,0.26204330821329774,28,2747
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0,0,0.0,0.0,0.3448707256046706,0.01426844014510278,0.14365566629990933,0.3448707256046706,59,4135
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0,0,0.0,0.0,0.3332215609020035,0.014842767295597484,0.1392257312790404,0.3332215609020035,59,3975
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0,0,0.0,0.0,0.2912107950401167,0.012210394489668128,0.12136847581191396,0.2912107950401167,39,3194
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0,0,0.0,0.0,0.2929302072960985,0.012051915945611866,0.12199284929668415,0.2929302072960985,39,3236
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0,0,0.0,0.0,0.32196441032798323,0.011108100785694934,0.13322900444547126,0.32196441032798323,41,3691
